keys,en,ko
LOADING_BAKING,Baking navigation...,내비게이션 굽는 중...
LOADING_READY,Ready,준비 완료
ROUND_N,Round %d,라운드 %d
STATUS_TITANS_STRIKE,%d titans - strike the nape!,거인 %d마리 - 네이프를 노려라!
STATUS_TITANS_LEFT,%d titans left,거인 %d마리 남음
STATUS_ROUND_CLEARED,Round %d cleared!,라운드 %d 클리어!
STATUS_ROUND_LOST,Round %d lost - the citizens were devoured!,라운드 %d 패배 - 주민들이 잡아먹혔다!
RE_ROUND_COMPLETE,Round %d complete,라운드 %d 완료
RE_LEFT_APPROACH,Left approach ratio: %.0f%%,좌측 접근 비율: %.0f%%
RE_AVG_DISTANCE,Avg engagement distance: %.1f m,평균 교전 거리: %.1f m
RE_AVG_ENTRY_SPEED,Avg entry speed: %.1f m/s,평균 진입 속도: %.1f m/s
RE_AVG_EXPOSURE,Avg nape exposure: %.0f%%,평균 네이프 노출: %.0f%%
RE_TITAN_EXPOSURE,  titan %d exposure: %.0f%%,  거인 %d 노출: %.0f%%
RE_SLASH,"Slash: %d attempts, %d kills (%.0f%%)","슬래시: 시도 %d회, 처치 %d회 (%.0f%%)"
RE_WINDOW_COUNT,Engagement windows this round: %d,이번 라운드 교전 윈도우: %d개
RE_PLAYER_MODEL_TITLE,Player model (24 bins),플레이어 모델 (24칸)
RE_PLAYER_MODEL_AXES,"rows=approach quadrant, cols=distance x timing","행=접근 사분면, 열=거리 x 타이밍"
RE_PLAYER_MODEL_EMPTY,player model: (no data yet),플레이어 모델: (아직 데이터 없음)
RE_HINT_CONTINUE,Press any key to continue,아무 키나 누르면 계속
EVO_TITLE_GEN,EVOLVING  -  Generation %d,진화 중  -  세대 %d
EVO_SKIP_HINT,Press any key to skip,아무 키나 누르면 건너뛰기
CMP_GEN1_PURE_NAV,Gen 1 (pure nav),1세대 (순수 내비)
CMP_GEN_BEST,Gen %d (best),%d세대 (최고)
CMP_UNEVOLVED,Gen 1 (pure nav) - no evolution yet,1세대 (순수 내비) - 아직 진화 없음
EVO_IND_FITNESS,"Fitness (best / mean, last %d gen)","적합도 (최고 / 평균, 최근 %d세대)"
EVO_IND_VARIANCE,Gene variance (shrinking = converging),유전자 분산 (줄어들수록 수렴)
EVO_IND_RADAR,Best genome (faint = previous gen),최고 유전자 (흐린 선 = 직전 세대)
START_SUBTITLE,Grapple-action prototype against a swarm of titans,거인 무리를 상대하는 그래플 액션 프로토타입
START_PLAY,Start,시작
START_SETTINGS,Settings,설정
START_LANGUAGE,Language,언어
SETTINGS_AUDIO,Audio,오디오
SETTINGS_MASTER_VOLUME,Master volume,전체 음량
SETTINGS_SFX_VOLUME,SFX volume,효과음 음량
SETTINGS_MUTE,Mute,음소거
NAPE_LETHAL,LETHAL,치명
NAPE_WEAK,WEAK,약함
NAPE_GUARDED,GUARDED,보호됨
NAPE_EXPOSED,EXPOSED,노출
DMG_READOUT_KILL,%.1f / %.1f  KILL,%.1f / %.1f  처치
DMG_READOUT_WEAK,%.1f / %.1f  WEAK,%.1f / %.1f  약함
